article_id,title,source,bias_rating,text,generated_question
216,Susan Collins Announces She Will Vote To Acquit Trump,USA TODAY,left,"Senator Susan Collins, one of only two Republicans to join Democrats in seeking testimony in the Senate trial of President Donald Trump, said Tuesday she would vote to acquit the president in a final vote on Wednesday.
Collins said key facts in the case were undisputed, including the July 25, 2019, call when Trump urged Ukraine President Volodymyr Zelensky to investigate his political rival, former Vice President Joe Biden, which she considered “improper and in very poor judgment.”
“It was wrong for him to ask a foreign government to...","How many Republicans joined Democrats in seeking testimony in the Senate trial of President Donald Trump, according to the article?"
217,Rand Paul Today Show Interview,CNN (Online News),left,"A day into his just-launched presidential campaign, Senator Rand Paul clashed with ""Today'""show anchor Savannah Guthrie over what he said was biased questioning.
The interview on Wednesday took a contentious turn when Guthrie began to detail what she said were shifts over the years in the Kentucky senator's foreign policy views.
""You have had views on foreign policy in the past that are somewhat unorthodox, but you seem to have changed","Did Senator Rand Paul's views on foreign policy change over the years, according to Savannah Guthrie?"
218,Who is Leading in the Polls,Washington Post,left,"Aided by her performance in the first Democratic debate, Hillary Rodham Clinton has regained much of the ground she lost during a summer of controversy and holds a dominating lead nationally over Sen. Bernie Sanders (I-Vt.) in the contest for her party’s presidential nomination, according to a new Washington Post-ABC News poll.","What is Hillary Rodham Clinton's current position relative to Sen. Bernie Sanders in the contest for the Democratic presidential nomination, according to the Washington Post-ABC News poll?"
219,Trump Surges in Polls,New York Times (News),left,"Donald J. Trump occupies his strongest position yet in the race for the Republican presidential nomination, yet nearly two-thirds of American voters say they are concerned or frightened about the prospect of a Trump presidency, according to the latest New York Times/CBS News nationwide poll.",What percentage of American voters say they are concerned or frightened about the prospect of a Trump presidency?
220,How Will President Biden’s Weed Pardons Impact Federal Drug Laws?,RollingStone.com,left,"Though “Dank Brandon” memes be be proliferating on your timeline, don’t forget that President Biden has supported America’s war on drugs for decades; he even wrote many of the laws that helped build a punitive criminal justice system for marijuana offenders.
On Thursday, Biden announced on Twitter that he would pardon all people convicted of simple marijuana possession under federal law. The move was met with acclaim from the majority of people (not everyone, though — Senator Tom Cotton of Arkansas called it “a desperate attempt to distract from failed leadership”)....",What action did President Biden announce on Twitter regarding people convicted of simple marijuana possession under federal law?
221,What the GOP Should Do Now,Bloomberg,left,"Republicans in control of the U.S. Senate will try to force a politically weakened President Barack Obama to accept changes to his health-care law, back off on tough environmental rules and nominate judges they endorse.",What actions will Republicans in control of the U.S. Senate try to force President Barack Obama to take?
222,Senate Holds Biden Cabinet Confirmation Hearings,NPR (Online News),left,"The day before Joe Biden is sworn in as the 46th president of the United States, five of his cabinet nominees will answer questions from Senate panels handling their confirmations. The busy committee calendar is ramping up at the same time as an impeachment trial is expected to start, posing a split screen challenge for the Senate, which is still reeling from an attack less than two weeks ago.
The process of vetting the top officials in the new administration comes as the Senate is still in a period of...",How many of Joe Biden's cabinet nominees will answer questions from Senate panels the day before his inauguration?
223,Senate Clears Path for Loretta Lynch,HuffPost,left,"Senate leaders announced a deal Tuesday to move forward on a stalled human trafficking bill, clearing the way for a vote on President Barack Obama's attorney general nominee within days.",What action did Senate leaders announce regarding a stalled human trafficking bill on Tuesday?
224,Las Vegas Debate Preview,CNN (Online News),left,"It's debate night in Sin City. Republican presidential candidates are in Las Vegas for their last debate of the year, just seven weeks before the 2016 nominating race gets underway at the Iowa caucuses. And what unfolds on stage at the Venetian casino will have significant implications for the destiny of the GOP nomination.",Where are the Republican presidential candidates holding their last debate of the year?
225,Book Says Gen. Milley Secretly Acted to Limit Trump's Nuclear Powers and Reassure Chinese Counterpart After Jan. 6,Washington Post,left,"Twice in the final months of the Trump administration, the country’s top military officer was so fearful that the president’s actions might spark a war with China that he moved urgently to avert armed conflict.
In a pair of secret phone calls, Gen. Mark A. Milley, the chairman of the Joint Chiefs of Staff, assured his Chinese counterpart, Gen. Li Zuocheng of the People’s Liberation Army, that the United States would not strike, according to a new book by Washington Post associate editor Bob Woodward and national political reporter Robert...",Did Gen. Mark A. Milley make secret phone calls to his Chinese counterpart to assure him that the United States would not strike China during the final months of the Trump administration?
226,Vote to Call Witnesses in Impeachment Trial Unlikely,New York Times (News),left,"WASHINGTON — Senator Lamar Alexander, Republican of Tennessee, said late Thursday that although he believed that Democrats had proved their case that President Trump acted “inappropriately” in his dealings with Ukraine, he did not think the president’s actions were impeachable and would vote against considering new evidence in the impeachment trial.
Mr. Alexander’s statement was a strong indication that Republicans had lined up the votes to block a call for more witnesses and documents on Friday and press toward a quick acquittal in the third presidential impeachment trial in history....",What did Senator Lamar Alexander say about President Trump's actions in his dealings with Ukraine?
227,CBO Report on Senate Health Care Bill,CNN (Online News),left,The Senate Republican health care bill teetered on the edge of collapse Monday evening after the Congressional Budget Office released a devastating report on its impact and multiple Republicans announced they would not vote to advance the legislation.,How many Republicans announced they would not vote to advance the Senate Republican health care bill after the Congressional Budget Office released its report?
228,Clinton Foundation Becomes Campaign Issue,CNN (Online News),left,"Hillary Clinton leads in the polls nationally and in key battleground states, but the flood of stories regarding her private email server and donations to the Clinton Foundation demonstrate the former secretary of state won't be able to completely outrun voter skepticism -- or Donald Trump.",What is the current status of Hillary Clinton in the polls nationally and in key battleground states?
229,Infrastructure Bill Faces Procedural Vote,Politico,left,"The Senate majority leader is courting moderates, channeling progressives and keeping a GOP channel open. It might not be enough.
Shortly before Chuck Schumer cued up a vote on the teetering bipartisan infrastructure agreement reached by five of his centrists, he gathered them all in person for a gut check.
The Senate majority leader wanted to explain his thinking in greater detail to the Democrats who’ve labored to cut a nearly $600 billion deal with Republicans, according to two sources familiar with the meeting. He needed to make sure everyone...",What is the approximate value of the bipartisan infrastructure agreement reached by the Democrats and Republicans?
230,Senate Judiciary Committee Advances Barrett Nomination over Democratic Boycott,The Guardian,left,"Republicans on the Senate judiciary committee voted unilaterally Thursday to advance Amy Coney Barrett’s supreme court nomination to the full Senate despite Democrats’ refusal to sit in the hearing room for what they called a naked “power grab”.
Democratic senators had announced the night before that they would not participate in any move to install Donald Trump’s third supreme court nominee even as tens of millions of Americans vote in a presidential election less than two weeks away.
No supreme court nominee has ever been installed so close to a...",When did Democratic senators announce they would not participate in the move to install Donald Trump's supreme court nominee?
231,"Graham Announces, GOP Field Now 9",CNN (Online News),left,"Lindsey Graham is running for president because, he says, ""the world is falling apart.""
And if Americans are looking for a commander-in-chief, the South Carolina senator believes he's it.
Graham, who told CNN last month he's been ""more right than wrong on foreign policy,"" announced his presidential bid in his hometown of Central, South Carolina, on Monday. He hopes that his track record on foreign affairs will give him the advantage in a wide-open primary fight.",Where did Lindsey Graham announce his presidential bid on Monday?
232,Fact-Checking Claims of Voter Fraud in the 2020 Election,PolitiFact,left,"In his first public remarks since falsely saying he won re-election hours after the polls closed, President Donald Trump lashed out at ballot-counting efforts in several states, alleging with no evidence that the system was stacked against him in multiple ways.
""If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us,"" Trump said Nov. 5 from the White House press room podium.
There is no evidence at this point that any significant number of illegal votes...",What did President Donald Trump claim would happen if only legal votes were counted in the election?
233,"Pelosi Recalls House, Calls On USPS Postmaster General to Testify",USA TODAY,left,"House Speaker Nancy Pelosi called on the House to return into session later this week to vote on a bill that would prevent changes the Trump administration has made to the Postal Service, alterations Democrats say will cause a slowing of the flow of mail and potentially jeopardize the November election.
Pelosi, in a Sunday statement, said the ""lives, livelihoods and the life of our American Democracy"" are under threat from President Donald Trump, who last week said he opposed giving the Postal Service more money while at the same...",What action is House Speaker Nancy Pelosi calling on the House to take regarding changes to the Postal Service made by the Trump administration?
234,Filibuster Over Lynch Nomination,Politico,left,"Nearly all Senate Democrats voted to block an anti-human trafficking bill on Tuesday over its abortion restrictions — prolonging an impasse that threatens to further delay a vote on Loretta Lynch as attorney general.
With the 55-43 tally, the Senate did not get the needed 60 votes to advance the trafficking bill to a vote for final passage. And it’s unclear what happens next to either that legislation or the Lynch nomination, as both sides on Tuesday showed no signs of relenting in the abortion fight.
Story Continued...",How many votes did the Senate need to advance the anti-human trafficking bill to a vote for final passage?
235,U.S. Senate Votes to Pass Asian American Hate Crimes Bill,Vox,left,"The Senate — in an overwhelmingly bipartisan vote on Thursday — sent Congress’s strongest message yet condemning anti-Asian hate crimes by passing a bill aimed at improving data collection.
The legislation, while somewhat narrow, intends to bolster hate crime tracking by designating a Justice Department official to specifically review potential hate crime incidents, providing grants for regional law enforcement agencies to set up reporting hotlines, and offering training to police on how to handle hate crime response.
It ultimately passed 94-1 with Sen. Josh Hawley (R-MO) as the lone vote...",How many senators voted in favor of the bill aimed at improving data collection on hate crimes?
236,"Senate to Debate $2,000 Stimulus Checks, Defense Veto",CNN (Online News),left,"All eyes are on Senate Majority Leader Mitch McConnell on Tuesday.
After the House overwhelmingly voted to both override President Donald Trump's veto on the National Defense Authorization Act and to pass $2,000 stimulus checks, it's Senate Republicans' turn to navigate whether they're willing to cross Trump in his final days in office.
Watch McConnell when he opens the Senate floor. The majority leader notably has not made any public commitments about how he plans to handle $2,000 checks despite the fact that Trump insisted he'd obtained a promise that...","What action did the House take regarding President Donald Trump's veto on the National Defense Authorization Act and $2,000 stimulus checks?"
237,Super Tuesday 2 Results,Washington Post,left,"Donald Trump won convincing victories Tuesday in the Michigan and Mississippi primaries, suggesting That the GOP establishment intensified assault on Trump's character and record HAD not yet wounded the front-runner for the Republican presidential nomination.",Who won the Michigan and Mississippi primaries on Tuesday?
238,Hope for a Third Party?,Washington Post,left,"On Friday morning, the third day in his four-day New England campaign swing, Libertarian presidential nominee Gary Johnson told a joke. He was the punch line.
“This is a crazy election,” Johnson said, looking out at dozens of Mainers who had come out for a breakfast meet-and-greet. “You know how crazy this election is? I’m going to be the next president of the United States. That’s how crazy!”",What did Gary Johnson say about the current election during a breakfast meet-and-greet in Maine?
239,2008 VP Choice,CNN (Online News),left,"Dick Cheney's assertion that it was a ""mistake"" for John McCain to put then-Alaska Gov. Sarah Palin on the 2008 Republican ticket drew some pushback Monday from the Arizona senator.
""I'm always glad to get comments four years later,"" McCain said sarcastically on Fox News. ""I respect the vice president. He and I had strong disagreements as to whether we",What did Dick Cheney say about John McCain's decision to put Sarah Palin on the 2008 Republican ticket?
240,Perspectives: Trump Hasn't Yet Conceded the Election,New York Times (Opinion),left,"It turns out there was a coordinated attack on the 2020 election after all. It began several years ago and accelerated in the last several months. Now that Election Day has passed, it has launched into overdrive.
Its weapons are baseless insinuation and evidence-free charges, deployed solely to sow chaos and undermine the results of a free and fair election — one that produced a clear winner and an even clearer loser.
But the most dangerous attackers of American democracy aren’t the Russians or the Chinese. They are the leaders...",What entities are described in the article as the most dangerous attackers of American democracy?
241,Biden Defends Comments About Working With Segregationists,CNN (Online News),left,"(CNN)An unapologetic Joe Biden defended his remarks about working with segregationist senators on Wednesday, telling reporters that ""there's not a racist bone in my body.""
Sen. Cory Booker of New Jersey, one of the former vice president's rivals for the 2020 Democratic presidential nomination, had called on Biden to apologize for remarks he had made at a fundraiser Tuesday evening in New York.
""Apologize for what?"" Biden told CNN when asked about Booker's call outside a fundraiser Wednesday evening in Rockville, Maryland.",What did Sen Cory Booker call on Joe Biden to do in response to Biden's remarks about working with segregationist senators?
242,Challenges for Ted Cruz,CNN (Online News),left,"Texas Sen. Ted Cruz announced Monday that he is launching his campaign to become the 2016 Republican nominee for president. Cruz has been positioning for this nomination almost since he entered the upper chamber in 2012. His announcement takes place at a bastion of conservatism, Liberty University, the institution founded by evangelical leader Jerry Falwell.",Where did Texas Sen. Ted Cruz announce that he is launching his campaign to become the 2016 Republican nominee for president?
243,"Ross Perot, Former Independent Presidential Candidate, Dead at 89",CNN (Online News),left,"Washington (CNN)Ross Perot, the billionaire tycoon who mounted two unsuccessful third-party presidential campaigns in the 1990s, died Tuesday, family spokesman James Fuller confirmed to CNN. He was 89.
Perot died after a five-month battle with leukemia, Fuller said.
A billionaire by his mid-50s after he sold a controlling interest in the data processing business he founded to General Motors for $2.5 billion, Perot's foray into presidential politics made him one of the more colorful political figures of the 1990s.",How old was Ross Perot when he died?
244,"Biden, Sanders Cancel Rallies, Cite Coronavirus Concerns",HuffPost,left,"Sen. Bernie Sanders (I-Vt.) and former Vice President Joe Biden have canceled Ohio rallies due to the coronavirus outbreak, their campaigns announced Tuesday.
These are the first campaign events in the 2020 presidential election cycle to be canceled because of the virus.
“We are heeding the public warnings from Ohio state officials, who have communicated concern about holding large, indoor events during the coronavirus outbreak,” the Sanders campaign said in a statement about the rally in Cleveland that was scheduled to take place Tuesday night. “Sen. Sanders would like to...","What campaign events have been canceled due to the coronavirus outbreak, according to the article?"
245,"Abrams, Kemp Debate in 2022 Georgia Governor's Race",CNN (Online News),left,"Republican Gov. Brian Kemp and Democrat Stacey Abrams sparred over health care, crime and punishment, and voting rights in a Monday debate as they made their closing arguments to voters in a reprise of their fiercely contested 2018 race for the same job.
The stakes for this night were arguably higher for Abrams, who has trailed in most recent polling of the race. Kemp, one of the few prominent Republicans to resist former President Donald Trump’s lies about a stolen election in 2020, has positioned himself as a more traditional, pro-business conservative – a...",What were some of the topics that Republican Gov. Brian Kemp and Democrat Stacey Abrams debated on Monday?
246,Pence Endorses Opponent of Trump-Backed Candidate for Arizona Governor,NBC News (Online),left,"Former Vice President Mike Pence on Monday endorsed Arizona GOP gubernatorial candidate Karrin Taylor Robson, putting him at odds with former President Donald Trump, who is backing another GOP contender, Kari Lake.
""As Arizona Democrats pursue the reckless Biden-Harris agenda, Karrin Taylor Robson is the only candidate for Governor that will keep Arizona’s border secure and streets safe, empower parents and create great schools, and promote conservative values,"" Pence said in a statement shared by Robson's campaign in a tweet.
Robson ""is the best choice for Arizona's future, and I am proud to...",Who has former Vice President Mike Pence endorsed in the Arizona GOP gubernatorial race?
247,GOP to Cancel Presidential Primaries in Four States,Politico,left,"Four states are poised to cancel their 2020 GOP presidential primaries and caucuses, a move that would cut off oxygen to Donald Trump’s long-shot primary challengers.
Republican parties in South Carolina, Nevada, Arizona and Kansas are expected to finalize the cancellations in meetings this weekend, according to three GOP officials who are familiar with the plans.",In which four states are the Republican parties expected to cancel their 2020 GOP presidential primaries and caucuses?
248,45 Senate Republicans Vote to Reject Trump Trial as Unconstitutional,CNN (Online News),left,"The Senate tabled an effort by Sen. Rand Paul Tuesday to force a vote on the constitutionality of former President Donald Trump's impeachment trial, but the vote offered an indicator for how Republican senators -- who overwhelmingly voted for Paul's measure -- feel about the trial.
Paul's motion was killed on a 55-45 vote, with five Republicans joining all Democrats, meaning 45 Republicans voted for Paul's effort. Republican Sens. Mitt Romney of Utah, Ben Sasse of Nebraska, Susan Collins of Maine, Lisa Murkowski of Alaska and Pat Toomey of Pennsylvania...",How many Republican senators voted in favor of Sen. Rand Paul's motion regarding the constitutionality of former President Donald Trump's impeachment trial?
249,Trump Response to Muslim Father,Politico,left,"The father of a Muslim-American soldier killed in Iraq on Sunday says Republican presidential nominee Donald Trump's statement on his son's service is ""disingenuous.""
""I appreciate his statement calling my son a hero and making this clarification and statement. I appreciate that. But it sounds so disingenuous because of his policies, because of his rhetoric of hatred, of derision, of dividing us,"" Khizr Khan, whose son, Army Capt. Humayun Khan, died in Iraq in 2004, said in an interview airing Sunday on NBC's ""Meet the Press.""",In what year did Army Capt. Humayun Khan die in Iraq?
250,Bipartisan Group of Senators Propose Coronavirus Relief Package,Washington Post,left,"A bipartisan group of senators unveiled an approximately $908 billion stimulus proposal on Tuesday, aiming to break a months-long partisan impasse over providing emergency federal relief to the U.S. economy.
Congress has faced increasing pressure to approve additional economic relief since talks between the White House and House Democrats collapsed, first over the summer and then again in the fall ahead of the Nov. 3 presidential election.
With negotiations among congressional leaders at an impasse, rank-and-file senators in both parties have for several weeks worked together on a proposal that...",What is the approximate value of the stimulus proposal unveiled by a bipartisan group of senators on Tuesday?
251,Senate Confirms Wray for FBI,Vox,left,Meet the guy who just got the job of keeping both Trump and the FBI happy.,Who was given the job of keeping both Trump and the FBI happy?
252,Trump Threatens to Move RNC Out of North Carolina,Politico,left,"President Donald Trump on Monday morning threatened to move August’s Republican National Convention out of North Carolina unless there are guarantees the state will let everyone attend.
“I love the Great State of North Carolina, so much so that I insisted on having the Republican National Convention in Charlotte at the end of August. Unfortunately, Democrat Governor, @RoyCooperNC is still in Shutdown mood & unable to guarantee that by August we will be allowed ... ..full attendance in the Arena,” he began in a string of four tweets.
Trump added:...",What is President Trump's condition for holding the Republican National Convention in North Carolina in August?
253,Should McConnell Resign Next,HuffPost,left,"There are a lot of things conservatives at the Values Voter Summit don't like about House Speaker John Boehner (R-Ohio), who announced his resignation on Friday. He has been in politics for too long, some said, and he is too willing to compromise. He gives up too easily, rather than fighting for conservative values, they said.
But there's another person those criticisms apply to: Senate Majority Leader Mitch McConnell (R-Ky.). They're not happy with him, either.
""Here's what I say in response to Speaker Boehner stepping down: Mitch McConnell, it...",What criticisms of House Speaker John Boehner are also being applied to Senate Majority Leader Mitch McConnell by conservatives at the Values Voter Summit?
254,Colin Powell on Donald Trump,NBC News (Online),left,"Former Secretary of State Colin Powell blasted Donald Trump as a ""national disgrace"" and ""international pariah"" in a personal email exchange that was leaked online by hackers.",What did Colin Powell call Donald Trump in a leaked personal email exchange?
255,Biden Pardons All Federal Offenses of Simple Marijuana Possession,ABC News (Online),left,"President Joe Biden on Thursday announced he is taking executive action to pardon Americans who've been convicted of simple marijuana possession under federal law.
The action will benefit 6,500 people with prior federal convictions and thousands of others charged under the District of Columbia's criminal code, according to senior administration officials.
""No one should be in jail just for using or possessing marijuana,"" Biden said in a statement outlining the administration's new actions. ""Sending people to prison for possessing marijuana has upended too many lives and incarcerated people for conduct...",How many people with prior federal convictions will benefit from President Biden's executive action to pardon those convicted of simple marijuana possession under federal law?
256,VP Debate Preview,CNN (Online News),left,"Republican vice presidential nominee Paul Ryan said Monday that Mitt Romney's widely-applauded debate performance upped the ante for Ryan's own showdown this week.
""He raised the bar quite high, that's for sure. Mitt definitely put the pressure on from that perspective,"" Ryan said on Detroit radio station WJR, just days before his match-up against Vice President Joe Biden on Thursday.",When is Paul Ryan's match-up against Vice President Joe Biden scheduled to take place?
257,Chicago Elects Lori Lightfoot As Mayor,ABC News (Online),left,"Former federal prosecutor Lori Lightfoot took home the victory in Chicago's mayoral race on Tuesday, making her the city's first African American female mayor.
The 56-year-old political newcomer defeated Cook County Board President Toni Preckwinkle, a 72-year-old former school teacher with nearly two decades of experience in public office.
The two Democrats took the lead in a crowded field of 14 candidates in the February general election to succeed two-term Mayor Rahm Emanuel. Emanuel was not seeking re-election.
Lightfoot, also slated to become the city's first openly gay mayor, will...",Who won the Chicago mayoral race on Tuesday?
258,Top 2016 Contenders Face Hurdles,Bloomberg,left,"An early December survey, testing a hypothetical match-up of two undeclared candidates for president, produced a dead-heat for New Jersey and New York in the national contest: Christie 42 percent, Clinton 41 percent.",What were the poll results for Christie and Clinton in a hypothetical presidential match-up according to the early December survey?
259,Further Shutdowns Possible?,CNN (Online News),left,"The 16-day partial government shutdown that just ended will be the last, if Senate Minority Leader Mitch McConnell, R-Kentucky has anything to say about it.
In a pair of newspaper interviews Thursday, McConnell used the same Kentucky metaphor that ""there's no education in the second kick of a mule."" The Republican Senate leader said the first kick was the 1995/1996 shutdowns and this one was the second. McConnell remained firm that there will not be a third.
""There will not be a government shutdown,"" McConnell told The Hill newspaper. To...",What did Senate Minority Leader Mitch McConnell say would not happen again after the recent 16-day partial government shutdown?
260,Rick Perry Suspends Campaign,CNN (Online News),left,"Rick Perry, the former Texas governor who insisted he learned lessons from his disastrous 2012 presidential campaign, dropped his second bid for the White House on Friday after just 100 days.
""Today, I am suspending my campaign for the presidency of the United States,"" Perry said in an address in St. Louis that virtually mirrored his standard stump speech until the very end. ""Life is good. I am a blessed man.""",How many days did Rick Perry's second presidential campaign last before he suspended it?
261,How Ballot Measures on Key Issues Fared Nationwide in the 2022 Elections,Associated Press,left,"Voters in four states have approved ballot measures that will change their state constitutions to prohibit slavery and involuntary servitude as punishment for crime, while those in a fifth state rejected a flawed version on the question.
The measures approved Tuesday could curtail the use of prison labor in Alabama, Oregon, Tennessee and Vermont.
In Louisiana, a former slave-holding state and one of a handful that sentences convicted felons to hard labor, lawmakers trying to get rid of forced prisoner labor ended up torpedoing their own measure. They told voters to...",What states approved ballot measures to prohibit slavery and involuntary servitude as punishment for crime on Tuesday?
262,Rand Paul Announces,New York Times (News),left,"Senator Rand Paul of Kentucky declared himself a candidate for the Republican nomination for president on Tuesday, aiming to upset the political order in Washington and disprove those in his own party who doubt that a fiercely libertarian conservative can be a serious contender.",Who declared themselves a candidate for the Republican nomination for president on Tuesday?
263,Post Convention,CNN (Online News),left,"Over the next 60 days of campaigning, much of it focusing on key battleground states, the two men will pitch their visions for the country to a divided electorate.",How long will the campaigning period be before the election?
264,Upcoming Debate,Washington Post,left,"There are 36 days left until Election Day, and that means that every day matters. But the next five days matter more than most when it comes to the races final outcome.
Heres why: There are two seminal events in the campaign this week Ã¢â‚¬â€ the first presidential debate on Wednesday night and the release of the September jobs report on Friday morning.
Yes, we know Ã¢â‚¬â€ and have written about Ã¢â‚¬â€ the fact that the general election debates in a presidential race may be less than meets the...",What two seminal events in the campaign are happening this week that may impact the election's final outcome?
265,Senate Republicans Block Democrats' Voting Rights Legislation,CNN (Online News),left,"Senate Democrats suffered a loss on Tuesday when Republican opposition sunk their signature voting and election bill during a key test vote, underscoring the limits of the party's power with the narrowest possible Senate majority.
A procedural vote to open debate on the legislation was defeated by a tally of 50-50, falling short of the 60 votes needed to succeed. Democrats were united in favor of the vote after securing support from Sen. Joe Manchin of West Virginia, but Republicans were united against it, causing the measure to fail to...",How many votes were needed to succeed in the procedural vote to open debate on the legislation?
266,State of the Election Process,Salon,left,"“‘Trump has been able to disrupt the news pretty much any time he wants,’ Silver wrote, ‘whether by being newsworthy, offensive, salacious or entertaining. The media has almost always played along.’",What has Trump been able to do to the news according to Silver?
267,"Biden Imposes Sanctions on Russia Over Cyberattacks and Election Interference, Declares 'National Emergency'",New York Times (News),left,"The Biden administration on Thursday announced tough new sanctions on Russia and formally blamed the country’s premier intelligence agency for the sophisticated hacking operation that breached American government agencies and the nation’s largest companies.
In the broadest effort yet to give more teeth to financial sanctions — which in the past have failed to deter Russian activity — the actions are aimed at choking off lending to the Russian government.
In an executive order, President Biden announced a series of additional steps — sanctions on 32 entities and individuals for...",What actions did the Biden administration announce on Thursday regarding Russia?
268,Gianforte Wins Montana Special Election,CNN (Online News),left,"Looking up at the large projection of vote totals in the ballroom of the Hilton Garden Inn on Thursday night, Montana Republican Party Chairman Jeff Essmann looked relaxed and promised, ""It ain't gonna be close.""",What did Montana Republican Party Chairman Jeff Essmann say about the vote totals on Thursday night?
269,"Debate, Moderators Criticized for Apparent Media Bias",The Intercept,left,"AHEAD OF THE August 2015 Fox News debate, the company’s chair, Rupert Murdoch, issued a directive to debate moderator Megyn Kelly: The Donald Trump thing has gone on long enough, it’s time to take him down. Kelly took a bat to candidate Trump, listing off his most misogynistic remarks, asking how he could explain them to voters. But Trump ended up winning that war.
Democrats assembled in Iowa Tuesday night for the opportunity to take him on in the upcoming general election. This time, though, it was CNN moderators who...",What directive did Rupert Murdoch issue to debate moderator Megyn Kelly ahead of the August 2015 Fox News debate?
270,VP Debate Tuesday Night,CNN (Online News),left,Vice Presidential debates are usually treated as bores or curios.,How are Vice Presidential debates usually treated?
271,Congress Meets to Confirm Electoral College Results,CNN (Online News),left,"The next crucial step in the United States' Pony Express version of democracy is upon us -- and so is the final opportunity in President Donald Trump's desperate quest to overturn results from the election he lost.
Wednesday is the culmination of the Electoral College process, when states' votes determined by the results of the November 3 general election are formally counted during a joint session of Congress. We know the results -- Biden won 306 electoral votes, beating Trump's 232 -- but the congressional session seals Joe Biden's victory,...",How many electoral votes did Joe Biden and Donald Trump receive in the November 3 general election?
272,"Biden, Trump Release Staff Diversity Data",Washington Post,left,"Thirty-five percent of presumptive Democratic presidential nominee Joe Biden’s campaign operation are people of color and just over half are women, according to figures released Saturday under public prodding, after months in which his campaign declined to make that information public.
At least 60 percent of the staff is white, a number in line with the percentage of the United States population identifying as such, according to 2019 data from the U.S. Census Bureau. Five percent of the staff opted not to specify a race.",What percentage of Joe Biden's campaign operation are people of color?
273,Playing Insider Politics,CNN (Online News),left,Donald Trump and Bernie Sanders are confronting the same paradox: the fate of their insurgent campaigns built on scorn for the political establishment rests on how well they play the inside game.,What is the common challenge that Donald Trump and Bernie Sanders' campaigns are facing?
274,Biden Reflects on First Year at Press Conference,NBC News (Online),left,"President Joe Biden predicted Wednesday that Russia will invade Ukraine, just as the United States launched a fresh effort to resolve the standoff and Moscow continued to mass troops on its neighbor's doorstep.
“My guess is he will move in, he has to do something,” said Biden during a news conference marking his first year in office, referring to Russian President Vladimir Putin and Ukraine.
The declaration from Biden was striking given the escalating tensions there and the continued efforts by America and its allies to find a diplomatic solution.",What did President Joe Biden predict would happen regarding Russia and Ukraine during a news conference marking his first year in office?
275,Akin Stays In,NPR (Online News),left,"Saying that the positions he and others have taken against abortion will ""strengthen our country and it's going to strengthen the Republican Party,"" Missouri Rep. Todd Akin said just before 1:30 p.m. ET that he will not withdraw from his state's Senate race by a 6 p.m. ET deadline this evening.",Will Missouri Rep. Todd Akin withdraw from his state's Senate race by the 6 p.m. ET deadline this evening?
276,Trump Admin Diverts $3.8B from Military Funds to Border Wall Construction,New York Times (News),left,"WASHINGTON — The Pentagon plans to divert $3.8 billion intended for military equipment to the construction of a wall at the southwestern border, it informed lawmakers on Thursday, drawing bipartisan outrage and reviving a long-running battle with Congress over funding for President Trump’s signature campaign promise.
The formal notification to Congress on Thursday, which was obtained by The New York Times, was the latest bid by Mr. Trump’s administration to circumvent congressional control of federal spending and unilaterally seize funds that lawmakers had designated for other purposes to finance the...",How much money does the Pentagon plan to divert from military equipment to the construction of a wall at the southwestern border?
277,Early Voting Turnout,New York Times (News),left,"Hillary Clinton and Donald J. Trump are using the final Saturday before Election Day to make their closing pitches to voters, with Mrs. Clinton in South Florida and Philadelphia and Mr. Trump dashing to four states across three time zones — the sort of barnstorming tours presidential candidates traditionally have made in the last 72 hours before Election Day.",Where are Hillary Clinton and Donald J. Trump campaigning on the final Saturday before Election Day?
278,DNC Chairman Resigns,Washington Post,left,"The announcement of Debbie Wasserman Schultz's planned resignation as chairwoman of the Democratic National Committee was sudden, shaking up an otherwise sleepy Sunday afternoon in which most of the political world was focused on making its way to Philadelphia for the party's quadrennial convention.",Who announced their planned resignation as chairwoman of the Democratic National Committee?
279,5 Lawyers Leave Trump Legal Team Ahead of Impeachment Trial,CNN (Online News),left,"Former President Donald Trump's lies and his insistence that the November election was rigged against him may have turned out to be a bridge too far for the attorneys who were slated to defend him in his upcoming Senate impeachment trial in a little more than a week.
But his party has largely stuck with him. After a brief flirtation with reason and sound judgment in the weeks following the January 6 siege at the Capitol, the Republican Party has decided to honor their deep and often blind allegiance to...",What event occurred at the Capitol on January 6?
280,Obama Offers Israel Aid Before Romney Visit,CNN (Online News),left,"he day before Mitt Romney makes a highly publicized trip to Israel, President Barack Obama on Friday signed a bill passed by Congress designed to increase security ties with the Jewish state.",What action did President Barack Obama take regarding a bill related to Israel on the day before Mitt Romney's trip to Israel?
281,O’Malley Announces Run,CNN (Online News),left,"Martin O'Malley launched his presidential campaign Saturday with an appeal to the party's progressive base that he hopes will upend the conventional wisdom that Hillary Clinton is destined to clinch the Democratic nomination.
The former Maryland governor unveiled his campaign in Baltimore, the city where he was once mayor -- a role that is central to his political persona. But his Baltimore credentials could become more of a challenge than he initially thought after a riot erupted in the city in April.",Where did Martin O'Malley unveil his presidential campaign?
